Brand,Model,Item Number,Description,Frequency Range,SRP NZD (inc GST),Dealer NZD - 33% (ex GST),New Product,Price Change,Special Notes,UPC,EAN,Country of Origin,Customs Tariff Code,Shipping Weight (g),Shipping Weight (lbs),Length (mm),Height (mm),Width (mm),Length (in),Height (in),Width (in),Master Carton Qty,Master Carton Weight (g),Master Carton Weight (lbs),Master Carton Length (mm),Master Carton Height (mm),Master Carton Width (mm),Master Carton Length (in),Master Carton Height (in),Master Carton Width (in),Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Image 6,Product Image 7,Product Image 8,Transducer Type,Polar Pattern,Spec Sheets,Spec Sheets,Spec Sheets,Spec Sheets,Spec Sheets,Whats in the Box
Sennheiser,EW-DP ENG SET (S4-7),700044,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 2 omnidirectional lavalier microphone, (1) EW-D SKP digital plug-on transmitter (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S4-7 (630 - 662 MHz)",S4-7 (630 - 662 MHz),1829,1065.59,,,,615104376472,4044155270662,RO,85181000,1018,2.24,316,96,197,12.44,3.78,7.76,4,4409.56,9.72,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--EfW1qDmC--/50f454c3d63a1eaa802971cb0aa4bd4adea1ff37.webp,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--4ONTyzUY--/80487fb413e341f4a49b241139e30b7c471ea9d1.jpg,https://images.salsify.com/image/upload/s--BNBPuAJN--/ff671082895c97f9d18122c0882088479797a2de.jpg,https://images.salsify.com/image/upload/s--H0XnNkis--/4643d8b274922fa4ed00079b57b3e194ccbe53d8.jpg,https://images.salsify.com/image/upload/s--Lt66TN1l--/ddbf55fa0714c0172de118e491e9e7a0475e690b.jpg,,,,,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) EW-DP SKP Plug-on transmitter, (1) ME 2 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Lithium Ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ENG SET (S7-10),700045,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 2 omnidirectional lavalier microphone, (1) EW-D SKP digital plug-on transmitter (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S7-10 (662 - 694 MHz)",S7-10 (662 - 694 MHz),1829,1065.59,,,,615104376625,4044155270723,RO,85181000,1018,2.24,316,96,197,12.44,3.78,7.76,4,4437.56,9.78,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--EfW1qDmC--/50f454c3d63a1eaa802971cb0aa4bd4adea1ff37.webp,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--4ONTyzUY--/80487fb413e341f4a49b241139e30b7c471ea9d1.jpg,https://images.salsify.com/image/upload/s--BNBPuAJN--/ff671082895c97f9d18122c0882088479797a2de.jpg,https://images.salsify.com/image/upload/s--H0XnNkis--/4643d8b274922fa4ed00079b57b3e194ccbe53d8.jpg,https://images.salsify.com/image/upload/s--Lt66TN1l--/ddbf55fa0714c0172de118e491e9e7a0475e690b.jpg,,,,,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49052-en-EW-DP_ENG-SET_Product Specification_v1.2_EN.pdf.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) EW-DP SKP Plug-on transmitter, (1) ME 2 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Lithium Ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 2 SET (R1-6),700011,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 2 omnidirectional lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: R1-6 (520 - 576 MHz)",R1-6 (520 - 576 MHz),1429,832.55,,,,615104375819,4044155270457,RO,85181000,808,1.78,316,96,197,12.44,3.78,7.76,4,3613.56,7.97,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--Xtuduxzn--/eaf4d8ca662cc4b07dc1d8810f24db3551b7002b.jpg,https://images.salsify.com/image/upload/s--ZI_sOJmt--/701e618340d4f06dc06e31ae939d407c66b75c11.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--Lt66TN1l--/ddbf55fa0714c0172de118e491e9e7a0475e690b.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Omnidirectional,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 2 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 2 SET (S4-7),700014,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 2 omnidirectional lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S4-7 (630 - 662 MHz)",S4-7 (630 - 662 MHz),1429,832.55,,,,615104376403,4044155270631,RO,85181000,808,1.78,316,96,197,12.44,3.78,7.76,4,3609.56,7.96,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--Xtuduxzn--/eaf4d8ca662cc4b07dc1d8810f24db3551b7002b.jpg,https://images.salsify.com/image/upload/s--ZI_sOJmt--/701e618340d4f06dc06e31ae939d407c66b75c11.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--Lt66TN1l--/ddbf55fa0714c0172de118e491e9e7a0475e690b.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Omnidirectional,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 2 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 2 SET (S7-10),700015,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 2 omnidirectional lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S7-10 (662 - 694 MHz)",S7-10 (662 - 694 MHz),1429,832.55,,,,615104376519,4044155270693,RO,85181000,808,1.78,316,96,197,12.44,3.78,7.76,4,3617.56,7.98,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--Xtuduxzn--/eaf4d8ca662cc4b07dc1d8810f24db3551b7002b.jpg,https://images.salsify.com/image/upload/s--ZI_sOJmt--/701e618340d4f06dc06e31ae939d407c66b75c11.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--Lt66TN1l--/ddbf55fa0714c0172de118e491e9e7a0475e690b.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Omnidirectional,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40794-en-EW-DP_ME-2-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 2 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 4 SET (R1-6),700021,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 4 cardioid lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: R1-6 (520 - 576 MHz)",R1-6 (520 - 576 MHz),1429,832.55,,,,615104375826,4044155270464,RO,85181000,804,1.77,316,96,197,12.44,3.78,7.76,4,3585.56,7.9,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--xkRr2oI9--/8ed70f2815cf36ba8f4fbc31f67b07b559521601.jpg,https://images.salsify.com/image/upload/s--Hpcy1-Cy--/90405ab4d3bc75f658f6337de4cad1c06648835a.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--yTuhxKn_--/2ef61ee96ab34fcb4848493489e413e055badb16.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Cardioid,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 4 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 4 SET (S4-7),700024,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 4 cardioid lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S4-7 (630 - 662 MHz)",S4-7 (630 - 662 MHz),1429,832.55,,,,615104376410,4044155270648,RO,85181000,804,1.77,316,96,197,12.44,3.78,7.76,4,3605.56,7.95,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--xkRr2oI9--/8ed70f2815cf36ba8f4fbc31f67b07b559521601.jpg,https://images.salsify.com/image/upload/s--Hpcy1-Cy--/90405ab4d3bc75f658f6337de4cad1c06648835a.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--yTuhxKn_--/2ef61ee96ab34fcb4848493489e413e055badb16.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Cardioid,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 4 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP ME 4 SET (S7-10),700025,"Portable digital wireless set. Includes (1) EW-DP EK digital portable single channel receiver, (1) EW-D SK digital bodypack transmitter, (1) ME 4 cardioid lavalier microphone, (1) Mounting kit (cheeseplate, cold shoe, belt clip & screws), (1) BA 70 liion battery & (2) AA battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable and (1) USB-C charging cable, frequency range: S7-10 (662 - 694 MHz)",S7-10 (662 - 694 MHz),1429,832.55,,,,615104376533,4044155270709,RO,85181000,804,1.77,316,96,197,12.44,3.78,7.76,4,3617.56,7.98,332,246,290,13.07,9.69,11.42,https://images.salsify.com/image/upload/s--xkRr2oI9--/8ed70f2815cf36ba8f4fbc31f67b07b559521601.jpg,https://images.salsify.com/image/upload/s--Hpcy1-Cy--/90405ab4d3bc75f658f6337de4cad1c06648835a.jpg,https://images.salsify.com/image/upload/s--6coPfAI2--/c606726d40f61be076f3e066c90bf2addef275a9.jpg,https://images.salsify.com/image/upload/s--oGpPN0kJ--/5ceb7269a3e6c06a61cc30ec1bb4d470f08169aa.jpg,https://images.salsify.com/image/upload/s--q9Zpgy4d--/ad6471e9d483310cec192306927c2dca787444b0.jpg,https://images.salsify.com/image/upload/s--yTuhxKn_--/2ef61ee96ab34fcb4848493489e413e055badb16.jpg,https://images.salsify.com/image/upload/s--oBiWxTTi--/4d197f5d5f2549c2f9e4fc20fe24eb1cde51f35b.jpg,https://images.salsify.com/image/upload/s--Qal5mj84--/f926ed840dcec4807b3ce3670a55534f614394a6.jpg,Electret Condenser,Cardioid,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40798-en-EW-DP_ME-4-SET_Product_Specification_v1.2_EN.pdf,"(1) EW-DP EK Portable single channel receiver, (1) EW-D SK Bodypack transmitter, (1) ME 4 Lavalier microphone, (1) Mounting kit (cheese plate, cold shoe, belt clip and screws), (1) BA 70 Rechargeable lithium ion battery, (2) AA Battery, (1) Locking 3.5 mm TRS plug to 3.5 mm TRS plug cable, (1) Locking 3.5 mm TRS plug to XLR plug cable, (1) USB-C Charging cable, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP MOUNTING PLATE,700005,"Cheese plate with built-in magnets for versatile mounting of EW-D EK portable receiver. Includes mounting screws, cold shoe mount, allen key, and belt clip.",,39.95,23.28,,,,615104377110,4044155270938,CN,76169990,50,0.11,225,"0,2",135,8.86,0.01,5.31,20,1630.56,3.59,194,178,149,7.64,7.01,5.87,https://images.salsify.com/image/upload/s--qe5d7ViB--/aa1d2d1ba2c9e10b787b72ec96c5c305428fb552.jpg,https://images.salsify.com/image/upload/s--502Y0Va9--/3d4544fab210e1175828447a7d437eb2af338b44.jpg,https://images.salsify.com/image/upload/s--FqeRAc0U--/4037cf66ccf9f0aa44421f81a98eaac7a2ae0cc1.jpg,https://images.salsify.com/image/upload/s--ccAjOBHT--/56b5afe69bc096fcaa279e7bd8d253c0ac594c32.jpg,,,,,,,,,,,,(1) EW-DP MOUNTING PLATE
Sennheiser,EW-DP SKP (R1-6),700081,"Digital plug-on transmitter with +48V phantom power, 3.5 mm input and internal recording via microSD (not included). Includes (2) AA batteries, frequency range: R1-6 (520 - 576 MHz)",R1-6 (520 - 576 MHz),709,413.07,,,,615104375987,4044155270501,RO,85176990,163,0.36,350,73,81,13.78,2.87,3.19,4,1807.56,3.98,377,114,329,14.84,4.49,12.95,https://images.salsify.com/image/upload/s--4ONTyzUY--/80487fb413e341f4a49b241139e30b7c471ea9d1.jpg,https://images.salsify.com/image/upload/s--BNBPuAJN--/ff671082895c97f9d18122c0882088479797a2de.jpg,https://images.salsify.com/image/upload/s--6DSNSf_R--/f67e4ace20fe0daa32a35e909e59d922c1e94bc1.jpg,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,"(1) EW-DP SKP Plug-on transmitter, (2) AA Battery, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP SKP (S1-7),700083,"Digital plug-on transmitter with +48V phantom power, 3.5 mm input and internal recording via microSD (not included). Includes (2) AA batteries, frequency range: S1-7 (606 - 662 MHz)",S1-7 (606 - 662 MHz),709,413.07,,,,615104376397,4044155270624,RO,85176990,163,0.36,350,73,81,13.78,2.87,3.19,4,1803.56,3.98,377,114,329,14.84,4.49,12.95,https://images.salsify.com/image/upload/s--4ONTyzUY--/80487fb413e341f4a49b241139e30b7c471ea9d1.jpg,https://images.salsify.com/image/upload/s--BNBPuAJN--/ff671082895c97f9d18122c0882088479797a2de.jpg,https://images.salsify.com/image/upload/s--6DSNSf_R--/f67e4ace20fe0daa32a35e909e59d922c1e94bc1.jpg,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,"(1) EW-DP SKP Plug-on transmitter, (2) AA Battery, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
Sennheiser,EW-DP SKP (S4-7),700084,"Digital plug-on transmitter with +48V phantom power, 3.5 mm input and internal recording via microSD (not included). Includes (2) AA batteries, frequency range: S4-7 (630 - 662 MHz)",S4-7 (630 - 662 MHz),709,413.07,,,,615104376502,4044155270686,RO,85176990,163,0.36,350,73,81,13.78,2.87,3.19,4,1803.56,3.98,377,114,329,14.84,4.49,12.95,https://images.salsify.com/image/upload/s--4ONTyzUY--/80487fb413e341f4a49b241139e30b7c471ea9d1.jpg,https://images.salsify.com/image/upload/s--BNBPuAJN--/ff671082895c97f9d18122c0882088479797a2de.jpg,https://images.salsify.com/image/upload/s--6DSNSf_R--/f67e4ace20fe0daa32a35e909e59d922c1e94bc1.jpg,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,https://www.sennheiser.com/globalassets/digizuite/49005-en-EW-DP_SKP_Product Specification_v1.1_EN.pdf.pdf,"(1) EW-DP SKP Plug-on transmitter, (2) AA Battery, (1) Quick guide, (1) Safety guide, (1) Manufacturer declaration sheet"
